,X,MDS1,MDS2,SVVS_Labels,EM_Labels
1,700013549,-0.221732226,-0.080903404,1,1
2,700014386,-0.159212296,-0.046080689,1,1
3,700014488,-0.053454682,-0.170860155,1,2
4,700014497,-0.071920871,-0.037850499,1,1
5,700014555,-0.178380182,-0.167407705,1,1
6,700014718,-0.069567536,-0.019763233,1,1
7,700014828,0.256071142,0.092286722,2,2
8,700014832,-0.251645899,0.000709946,1,1
9,700014954,-0.242717099,0.058410384,1,1
10,700015113,0.344735986,-0.146770166,2,2
11,700015179,-0.148232608,-0.121838916,1,1
12,700015245,-0.202270114,0.029881277,1,1
13,700015386,0.217552085,-0.055599855,2,2
14,700015390,0.214962035,-0.084246109,2,2
15,700015394,-0.172917889,-0.018274006,1,1
16,700015702,-0.155092154,0.002512383,1,1
17,700015857,0.255428759,0.061144216,2,2
18,700015922,0.34885013,-0.012987313,2,2
19,700015979,0.031200594,-0.141619384,2,2
20,700016000,0.097939418,-0.238181695,2,2
21,700016004,-0.061371531,-0.064865371,1,1
22,700016008,-0.161997856,0.003446623,1,1
23,700016136,0.124659368,-0.111485878,2,2
24,700016210,0.077647818,0.083231727,2,2
25,700016456,-0.224622115,-0.022325505,1,1
26,700016542,-0.117851043,0.247172763,1,2
27,700016608,-0.261597522,0.011160476,1,1
28,700016692,-0.057306726,0.042321237,1,1
29,700016764,-0.267499057,0.171465635,1,1
30,700016902,0.018623788,0.015654844,2,2
31,700016960,-0.047295542,0.129883518,1,2
32,700021295,-0.124591277,-0.116642607,1,1
33,700021677,-0.024100236,-0.125897181,1,1
34,700021807,-0.191384478,-0.07917718,1,1
35,700021902,0.333628472,0.19975042,2,2
36,700023066,-0.081364283,-0.094787877,1,1
37,700023188,0.234467287,0.118275836,2,2
38,700023237,-0.033132967,-0.042502386,1,1
39,700023290,-0.267909494,-0.063846104,1,1
40,700023447,-0.173083325,-0.049847284,1,1
41,700023509,-0.109799773,-0.165162129,1,1
42,700023551,-0.215925655,-0.103128542,1,1
43,700023603,-0.274704053,-0.079341841,1,1
44,700023634,-0.258857426,-0.114335616,1,1
45,700023701,-0.219820778,-0.095640141,1,1
46,700023815,0.073254143,-0.115887861,2,2
47,700023872,-0.037700019,-0.173126831,1,1
48,700023919,-0.001003986,-0.055701363,1,2
49,700023967,-0.188501902,-0.067403063,1,1
50,700024024,0.069659283,-0.00719357,2,2
51,700024086,-0.161606865,-0.094515929,1,1
52,700024141,0.163503109,-0.164092264,2,2
53,700024201,0.026479217,-0.125788669,1,2
54,700024234,-0.088221012,-0.045392496,1,1
55,700024296,-0.222357787,-0.007620702,1,1
56,700024349,-0.110059329,-0.052772449,1,1
57,700024408,-0.239176541,0.033907157,1,1
58,700024449,0.019402818,-0.151275128,2,2
59,700024492,-0.039452855,-0.136454802,1,2
60,700024545,0.050779196,-0.059750091,2,2
61,700024593,-0.028530412,0.012030155,1,2
62,700024646,-0.107988608,0.016695768,1,1
63,700024689,0.005580532,0.096339451,2,2
64,700024732,-0.129159003,0.137882335,1,2
65,700024789,0.057083372,-0.12106158,2,2
66,700024846,-0.114883716,-0.102192232,1,1
67,700024908,0.13804083,0.10571306,2,2
68,700024966,-0.125654563,-0.029168034,1,1
69,700032068,-0.065187905,0.26128162,1,1
70,700032132,0.265241927,0.05485743,2,2
71,700032222,0.041737428,0.108929776,1,1
72,700032316,0.268737777,0.542739941,2,2
73,700032413,-0.066719448,0.096770119,1,1
74,700032925,0.288184299,-0.239037586,2,2
75,700033130,-0.127059949,-0.147341218,1,1
76,700033201,-0.024291104,-0.067878046,1,2
77,700033363,0.113982959,0.010023367,2,2
78,700033436,0.019409253,-0.004443724,1,2
79,700033502,0.085379872,-0.008026281,2,2
80,700033559,-0.045949366,-0.000403321,1,1
81,700033664,-0.067633641,0.006689715,1,1
82,700033726,-0.043531866,-0.263731393,1,1
83,700033796,0.035312556,-0.279385923,2,2
84,700033922,0.105389613,-0.044737553,2,2
85,700033988,-0.193917144,0.275324089,1,1
86,700034081,-0.083115103,0.254123528,1,1
87,700034166,0.060209472,0.124963429,1,2
88,700034232,0.005963197,-0.050379217,1,2
89,700034622,-0.010592816,-0.225932534,1,1
90,700034772,-0.045038047,0.114472717,1,2
91,700034838,0.134418787,0.091632811,2,2
92,700034907,-0.133728271,0.047902462,1,1
93,700035157,0.179995884,0.188623881,2,2
94,700035237,-0.182082696,0.065707789,1,1
95,700035297,-0.004043845,0.253085661,1,1
96,700035369,0.103494987,0.08536282,2,2
97,700035373,0.291224489,-0.019011235,2,2
98,700035514,0.118503935,0.114977052,2,2
99,700035575,0.362876601,-0.046638339,2,2
100,700035635,0.137151014,0.040588003,2,2
101,700035728,0.192283597,-0.124656,2,2
102,700035785,-0.111231045,-0.2151043,1,1
103,700035842,-0.033473601,-0.036958974,1,1
104,700035931,-0.19785191,0.11090317,1,1
105,700037008,-0.095176932,0.098414192,1,1
106,700037042,0.07661433,-0.06813733,2,2
107,700037123,-0.262335958,-0.201372426,1,1
108,700037252,-0.077108537,-0.086281465,1,1
109,700037453,0.074246978,-0.046519209,2,2
110,700037539,-0.161227451,-0.076571168,1,1
111,700037700,0.045529098,-0.017559806,2,2
112,700038021,-0.258724994,-0.069443369,1,1
113,700038126,-0.200959429,-0.056344496,1,1
114,700038231,0.035828996,0.126335124,2,2
115,700038284,-0.256396456,-0.009439433,1,1
116,700038354,-0.101208575,0.014278245,1,1
117,700038392,-0.355292973,0.076912484,1,1
118,700038445,-0.074413941,-0.073488552,1,1
119,700038493,-0.094012588,-0.112351483,1,1
120,700038546,0.037966461,-0.065909146,1,2
121,700038594,-0.005409851,-0.113526979,2,2
122,700038702,-0.113565816,-0.121209961,1,1
123,700038741,-0.001283787,-0.17224765,1,2
124,700038870,-0.128554495,0.026415812,1,1
125,700038918,0.268121908,-0.062809374,2,2
126,700038956,-0.295151948,0.048137552,1,1
127,700095213,-0.012827908,0.082695772,1,1
128,700095353,-0.133215729,0.064837625,1,1
129,700095410,-0.012054107,0.096059088,1,2
130,700095467,-0.177640426,-0.001066604,1,1
131,700095524,-0.015472422,0.010924223,1,2
132,700095647,-0.264858371,-0.045588494,1,1
133,700095717,-0.124393939,-0.005039816,1,1
134,700095774,0.081949469,0.048283645,2,2
135,700095831,0.130293151,-0.0185625,2,2
136,700095956,-0.136955936,0.155276932,1,1
137,700096047,0.263780317,-0.02520183,2,2
138,700096104,0.232144019,0.13502775,2,2
139,700096161,-0.28026793,0.141013784,1,1
140,700096267,0.195741964,0.175217097,2,2
141,700096361,-0.240533041,-0.176959658,1,1
142,700096418,0.04414057,0.04964639,2,2
143,700096511,-0.100453875,0.136357296,1,1
144,700096568,0.020722237,0.220094889,1,1
145,700096590,0.217996122,0.009854994,2,2
146,700096700,0.365281749,-0.08082668,2,2
147,700096865,0.201569677,0.027382223,2,2
148,700096943,0.29424365,-0.182276388,2,2
149,700097000,-0.233271704,0.129815117,1,1
150,700097116,-0.030348951,-0.054103965,1,1
151,700097177,-0.063100149,0.072776871,1,1
152,700097234,0.080064262,0.097311555,2,2
153,700097291,-0.041726393,-0.043187843,1,2
154,700097357,0.32465828,-0.033052791,2,2
155,700097415,0.044918251,-0.112294557,1,2
156,700097481,-0.148153472,0.114336988,1,1
157,700097570,-0.092657915,0.143774721,1,1
158,700097631,-0.257498827,0.035217398,1,1
159,700097688,-0.287302016,-0.119655222,1,1
160,700097754,-0.180897773,0.103961304,1,1
161,700097837,-0.177800582,-0.099291011,1,1
162,700097906,0.043548018,0.064471199,1,2
163,700097972,-0.226625972,0.074997205,1,1
164,700098109,0.096422121,0.022135234,2,2
165,700098201,-0.059801046,0.101489927,1,1
166,700098267,-0.108951186,-0.018854262,1,1
167,700098359,-0.151231043,-0.135828154,1,2
168,700098429,-0.108285663,0.00389879,1,1
169,700098542,-0.223847025,0.058897204,1,1
170,700098599,0.238419442,-0.198551197,2,2
171,700098669,0.246231315,-0.112288474,2,2
172,700098735,0.209100805,0.256960123,2,2
173,700098866,0.086526328,0.031519606,2,2
174,700098932,0.025608953,0.240323369,2,2
175,700099002,0.107237058,-0.090089341,2,2
176,700099059,-0.192858786,0.052455935,1,1
177,700099125,0.152845729,-0.006863553,2,2
178,700099288,0.193556574,-0.000981304,2,2
179,700099381,0.292001845,-0.043406616,2,2
180,700099442,0.325568227,0.125912625,2,2
181,700099512,0.354172724,-0.071841196,2,2
182,700099590,0.173842238,-0.226625075,2,2
183,700099746,0.191140989,-0.037857365,2,2
184,700099803,-0.104349606,0.062714959,1,1
185,700099886,0.033959706,0.010589711,1,2
186,700099956,-0.007246581,0.056589826,1,1
187,700100022,-0.016778992,0.166087869,1,1
188,700100165,0.355395537,0.006367445,2,2
189,700100227,0.361741975,-0.017122978,2,2
190,700100293,-0.269013895,0.221386194,1,1
191,700100413,0.302556411,0.090519818,2,2
192,700100471,0.09112501,-0.048246642,2,2
193,700100540,-0.00943484,-0.0850281,1,2
194,700100600,-0.157506956,0.026126877,1,1
195,700101076,0.034811857,-0.060717026,2,2
196,700101224,-0.161503073,-0.006325344,1,1
197,700101290,-0.210047373,-0.237338557,1,1
198,700101347,-0.036167866,-0.009721193,1,1
199,700101515,0.266485494,0.161735878,2,2
200,700101581,-0.196021556,0.047474519,1,1
201,700101638,0.002040311,0.015604678,1,2
202,700101771,0.527317558,-0.056043164,2,2
203,700101840,0.334296121,-0.016417292,2,2
204,700101897,-0.030815268,0.059846194,1,1
205,700102043,0.189811067,0.130633463,2,2
206,700102113,0.168423405,0.032207116,2,2
207,700102242,-0.136385736,0.268623367,1,2
208,700102299,-0.031759968,0.136976315,1,1
209,700102356,0.122836555,-0.0593025,2,2
210,700102413,0.002940025,0.027146986,1,2
211,700102519,-0.162466244,0.151325617,1,1
212,700102585,-0.168236441,0.122321332,1,1
213,700102659,0.145845564,0.359276176,2,2
214,700102848,-0.08250323,0.017844513,1,1
215,700102905,0.205238782,-0.010936192,2,2
216,700103446,-0.077408349,-0.055961016,1,1
217,700103558,-0.035260774,0.578951789,1,1
218,700103621,0.058710791,-0.058373789,2,2
219,700103672,0.045449416,-0.282873454,1,1
220,700105049,-0.155713941,0.165684815,1,1
221,700105153,-0.168697943,-0.087820342,1,1
222,700105210,0.1350622,-0.10321258,2,2
223,700105312,0.027161147,-0.025322772,1,2
224,700105355,-0.216996381,0.023462587,1,1
225,700105421,-0.164324884,-0.108505483,1,1
226,700105468,-0.086107624,-0.050511805,1,1
227,700105580,-0.120191083,-0.044535064,1,1
228,700105613,-0.114352401,0.212602318,1,1
229,700105685,-0.006935974,-0.078203712,1,2
230,700105787,-0.177931462,0.251073215,1,1
231,700105834,-0.09721881,-0.061164685,1,1
232,700105882,-0.008456977,0.235900863,1,1
233,700105991,-0.226095552,0.353948404,1,1
234,700106018,-0.152289391,-0.05621743,1,1
235,700106065,0.010339844,-0.218466822,1,1
236,700106132,-0.197114869,-0.054143542,1,1
237,700106229,-0.115650774,0.055440487,1,1
238,700106333,0.195091097,-0.215496787,2,2
239,700106412,-0.194037769,0.308942864,1,1
240,700106437,0.302341973,0.046992208,2,2
241,700106504,0.451147587,0.089908584,2,2
242,700106551,0.05183261,0.409349666,1,1
243,700106615,0.156523935,0.25678626,2,2
244,700106663,-0.144391855,0.427943575,1,1
245,700106701,-0.023500879,0.281143319,1,1
246,700106754,-0.27275193,0.121749684,1,1
247,700106809,0.045881328,0.232289436,1,1
248,700106876,0.126896577,-0.138850866,2,2
249,700106946,0.114697056,0.229036551,1,1
250,700106979,0.526494826,0.051984455,2,2
251,700107007,0.127685612,0.054179129,2,2
252,700107189,0.241675029,0.286138292,2,2
253,700107375,0.004781597,-0.097524971,2,2
254,700107489,-0.166266609,0.086527801,1,1
255,700107546,0.2032041,-0.136412174,2,2
256,700107759,-0.252407725,0.018459799,1,1
257,700107816,-0.141797785,-0.28199099,1,1
258,700107873,0.072371618,-0.27395422,2,2
259,700107930,0.151023919,-0.078285776,2,2
260,700107993,-0.040432714,0.459605475,1,1
261,700108095,0.054107156,0.053460134,2,2
262,700108161,0.141950519,-0.196411803,2,2
263,700108218,-0.19444132,-0.132864473,1,1
264,700108284,0.02087218,-0.167842839,2,2
265,700108473,-0.115771682,-0.223896307,1,1
266,700108530,-0.000158735,0.044804193,1,2
267,700108596,-0.123457108,-0.081791905,1,1
268,700108782,0.173036937,-0.264986565,2,2
269,700108839,-0.040954465,-0.062521764,1,2
270,700108896,-0.062130529,-0.205315689,1,1
271,700108954,0.389336941,-0.140697433,2,2
272,700109107,-0.330547385,-0.140291663,1,1
273,700109173,-0.221330224,-0.163192299,1,1
274,700109230,0.134820085,0.228119367,2,2
275,700109317,-0.064011121,-0.233111988,1,1
276,700109383,0.3028389,-0.080142117,2,2
277,700109449,-0.109267643,0.343912321,1,1
278,700109506,0.112619693,-0.026585837,2,2
279,700109563,-0.037730907,-0.075024336,1,1
280,700109621,0.11443929,0.029301234,2,2
281,700109750,0.375388755,0.043927983,2,2
282,700109807,0.101592724,-0.155807,2,2
283,700109864,0.146664941,-0.364850783,2,2
284,700109921,-0.068746348,-0.014081551,1,1
285,700109987,-0.427633427,0.138482523,1,1
286,700110089,-0.090890902,-0.018799312,1,1
287,700110155,0.480596438,-0.020297289,2,2
288,700110221,-0.232106328,-0.139637213,1,1
289,700110287,-0.050320699,-0.147602252,1,1
290,700110353,0.106944378,0.160463554,1,1
291,700110419,-0.010038233,-0.188872547,1,2
292,700110587,0.247603466,0.191587316,2,2
293,700110644,-0.090458898,-0.277773544,1,2
294,700110701,-0.001851864,0.187089444,1,1
295,700110812,-0.033343451,0.256032393,1,1
296,700111026,0.229866157,0.241266287,2,2
297,700111156,-0.02297745,-0.205264892,1,2
298,700111222,0.162248139,-0.252686933,2,2
299,700111296,-0.075591418,-0.243513542,1,1
300,700111439,-0.128392521,-0.234894862,1,1
301,700111505,0.457313409,0.127540076,2,2
302,700111574,-0.015696256,0.362323402,1,1
303,700111745,0.129277377,-0.254252371,2,2
304,700111811,0.363969955,0.252779563,2,2
305,700111985,-0.070324709,-0.221358815,1,1
306,700113013,-0.144173398,0.085389809,1,1
307,700113066,0.094635741,-0.158057346,2,2
308,700113503,0.353022293,-0.15237856,2,2
309,700113542,-0.082266109,-0.061058016,1,1
310,700113599,0.02605276,-0.058763705,1,2
311,700114000,-0.031419901,0.003040432,1,2
312,700114105,-0.141575106,-0.099781159,1,1
313,700114162,0.249520876,-0.179461095,2,2
314,700114218,-0.066187212,-0.081406596,1,1
315,700114267,0.158547481,-0.037590305,2,2
316,700114442,0.056649893,0.025548173,2,2
317,700114615,-0.255427014,-0.044796394,1,1
318,700114717,-0.074291508,0.039706433,1,1
319,700114750,0.126849907,-0.04590308,2,2