,D
ASV_020,0.856331224
ASV_031,0.842001691
ASV_023,0.808826119
ASV_063,0.778694135
ASV_084,0.723665467
ASV_044,0.693153716
ASV_057,0.652896695
ASV_065,0.615943311
ASV_099,0.603866955
ASV_073,0.588052653
ASV_101,0.572647816
ASV_129,0.537293077
ASV_126,0.531784003
ASV_133,0.517392533
ASV_077,0.516932112
ASV_153,0.493540327
ASV_119,0.484667479
ASV_092,0.481294182
ASV_122,0.477752017
ASV_161,0.474015648
ASV_107,0.472461242
ASV_144,0.446162601
ASV_154,0.413361449
ASV_189,0.400742543
ASV_143,0.392186174
ASV_111,0.391041776
ASV_022,0.387185351
ASV_180,0.381516302
ASV_165,0.374808292
ASV_193,0.370397451
ASV_213,0.354536262
ASV_216,0.347849386
ASV_201,0.3478397
ASV_138,0.346912557
ASV_108,0.342715128
ASV_181,0.337355394
ASV_116,0.334285827
ASV_230,0.327586644
ASV_184,0.320298335
ASV_220,0.314625269
ASV_083,0.309496932
ASV_166,0.309057841
ASV_240,0.294559764
ASV_244,0.294556032
ASV_149,0.2904176
ASV_214,0.289392251
ASV_252,0.289387324
ASV_178,0.271912464
ASV_239,0.270531157
ASV_109,0.267184306
ASV_207,0.266476366
ASV_294,0.262458752
ASV_233,0.260235916